raw_stem,raw_product_id,timestamp,received_date,product_type,camera_id,crop_type,camera_angle,product_id,stem,has_kizu_dakon,has_kizu_ware,has_kizu_zairyou,has_ignore_shallow,has_ignore_cutting,has_ignore_oil,has_sabi,has_unuse,is_anomaly_image,is_anomaly_product,data_block_id
301_20200825125742545,301,20200825125742545,20201005,H,2,uncrop,0,20200825125742545,20200825125742545_2_0_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
301_20200825125744498,301,20200825125744498,20201005,H,2,uncrop,1,20200825125742545,20200825125742545_2_1_uncrop,1,0,0,1,0,0,0,0,1.0,1.0,3
301_20200825125747298,301,20200825125747298,20201005,H,2,uncrop,2,20200825125742545,20200825125742545_2_2_uncrop,1,0,0,0,0,0,0,0,1.0,1.0,3
301_20200825125748732,301,20200825125748732,20201005,H,2,uncrop,3,20200825125742545,20200825125742545_2_3_uncrop,1,0,0,0,0,0,1,0,1.0,1.0,3
301_20200825125750683,301,20200825125750683,20201005,H,2,uncrop,4,20200825125742545,20200825125742545_2_4_uncrop,1,0,0,0,0,0,1,0,1.0,1.0,3
301_20200825125752893,301,20200825125752893,20201005,H,2,uncrop,5,20200825125742545,20200825125742545_2_5_uncrop,1,0,0,0,0,0,1,0,1.0,1.0,3
301_20200825125754314,301,20200825125754314,20201005,H,2,uncrop,6,20200825125742545,20200825125742545_2_6_uncrop,1,0,0,1,0,0,1,0,1.0,1.0,3
301_20200825125756010,301,20200825125756010,20201005,H,2,uncrop,7,20200825125742545,20200825125742545_2_7_uncrop,1,0,0,0,0,0,0,0,1.0,1.0,3
301_20200825125758204,301,20200825125758204,20201005,H,2,uncrop,8,20200825125742545,20200825125742545_2_8_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
301_20200825125759616,301,20200825125759616,20201005,H,2,uncrop,9,20200825125742545,20200825125742545_2_9_uncrop,0,0,0,0,0,0,0,0,0.0,1.0,3
301_20200825125801280,301,20200825125801280,20201005,H,2,uncrop,10,20200825125742545,20200825125742545_2_10_uncrop,0,0,0,0,0,0,0,0,0.0,1.0,3
301_20200825125803484,301,20200825125803484,20201005,H,2,uncrop,11,20200825125742545,20200825125742545_2_11_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
302_20200825125952824,302,20200825125952824,20201005,H,2,uncrop,0,20200825125952824,20200825125952824_2_0_uncrop,0,0,0,0,0,0,1,0,0.0,1.0,1
302_20200825125954788,302,20200825125954788,20201005,H,2,uncrop,1,20200825125952824,20200825125952824_2_1_uncrop,0,0,0,1,0,0,1,0,0.0,1.0,1
302_20200825125957593,302,20200825125957593,20201005,H,2,uncrop,2,20200825125952824,20200825125952824_2_2_uncrop,1,0,0,1,0,0,1,0,1.0,1.0,1
302_20200825125959015,302,20200825125959015,20201005,H,2,uncrop,3,20200825125952824,20200825125952824_2_3_uncrop,1,0,0,1,0,0,1,0,1.0,1.0,1
302_20200825130001020,302,20200825130001020,20201005,H,2,uncrop,4,20200825125952824,20200825125952824_2_4_uncrop,1,0,0,1,0,0,0,0,1.0,1.0,1
302_20200825130003216,302,20200825130003216,20201005,H,2,uncrop,5,20200825125952824,20200825125952824_2_5_uncrop,1,0,0,1,0,0,0,0,1.0,1.0,1
302_20200825130004641,302,20200825130004641,20201005,H,2,uncrop,6,20200825125952824,20200825125952824_2_6_uncrop,1,0,0,1,0,0,0,0,1.0,1.0,1
302_20200825130006308,302,20200825130006308,20201005,H,2,uncrop,7,20200825125952824,20200825125952824_2_7_uncrop,1,0,0,1,0,0,1,0,1.0,1.0,1
302_20200825130008510,302,20200825130008510,20201005,H,2,uncrop,8,20200825125952824,20200825125952824_2_8_uncrop,1,0,0,1,0,0,1,0,1.0,1.0,1
302_20200825130009942,302,20200825130009942,20201005,H,2,uncrop,9,20200825125952824,20200825125952824_2_9_uncrop,1,0,0,0,0,0,1,0,1.0,1.0,1
302_20200825130011604,302,20200825130011604,20201005,H,2,uncrop,10,20200825125952824,20200825125952824_2_10_uncrop,0,0,0,0,0,0,1,0,0.0,1.0,1
302_20200825130013805,302,20200825130013805,20201005,H,2,uncrop,11,20200825125952824,20200825125952824_2_11_uncrop,0,0,0,0,0,0,1,0,0.0,1.0,1
303_20200825130139070,303,20200825130139070,20201005,H,2,uncrop,0,20200825130139070,20200825130139070_2_0_uncrop,0,0,0,0,0,0,0,0,0.0,1.0,3
303_20200825130141009,303,20200825130141009,20201005,H,2,uncrop,1,20200825130139070,20200825130139070_2_1_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
303_20200825130143811,303,20200825130143811,20201005,H,2,uncrop,2,20200825130139070,20200825130139070_2_2_uncrop,1,0,0,1,0,0,0,0,1.0,1.0,3
303_20200825130145288,303,20200825130145288,20201005,H,2,uncrop,3,20200825130139070,20200825130139070_2_3_uncrop,1,0,0,1,0,0,0,0,1.0,1.0,3
303_20200825130147248,303,20200825130147248,20201005,H,2,uncrop,4,20200825130139070,20200825130139070_2_4_uncrop,1,0,0,1,0,0,0,0,1.0,1.0,3
303_20200825130149455,303,20200825130149455,20201005,H,2,uncrop,5,20200825130139070,20200825130139070_2_5_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
303_20200825130150926,303,20200825130150926,20201005,H,2,uncrop,6,20200825130139070,20200825130139070_2_6_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
303_20200825130152543,303,20200825130152543,20201005,H,2,uncrop,7,20200825130139070,20200825130139070_2_7_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
303_20200825130154747,303,20200825130154747,20201005,H,2,uncrop,8,20200825130139070,20200825130139070_2_8_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
303_20200825130156180,303,20200825130156180,20201005,H,2,uncrop,9,20200825130139070,20200825130139070_2_9_uncrop,0,0,0,0,0,0,0,0,0.0,1.0,3
303_20200825130157852,303,20200825130157852,20201005,H,2,uncrop,10,20200825130139070,20200825130139070_2_10_uncrop,0,0,0,0,0,0,0,0,0.0,1.0,3
303_20200825130200059,303,20200825130200059,20201005,H,2,uncrop,11,20200825130139070,20200825130139070_2_11_uncrop,0,0,0,0,0,0,0,0,0.0,1.0,3
304_20200825130800239,304,20200825130800239,20201005,H,2,uncrop,0,20200825130800239,20200825130800239_2_0_uncrop,0,0,0,0,0,0,1,0,0.0,1.0,3
304_20200825130802202,304,20200825130802202,20201005,H,2,uncrop,1,20200825130800239,20200825130800239_2_1_uncrop,1,0,0,0,0,0,0,0,1.0,1.0,3
304_20200825130805003,304,20200825130805003,20201005,H,2,uncrop,2,20200825130800239,20200825130800239_2_2_uncrop,1,0,0,0,0,0,0,0,1.0,1.0,3
304_20200825130806434,304,20200825130806434,20201005,H,2,uncrop,3,20200825130800239,20200825130800239_2_3_uncrop,1,0,0,0,0,0,0,0,1.0,1.0,3
304_20200825130808421,304,20200825130808421,20201005,H,2,uncrop,4,20200825130800239,20200825130800239_2_4_uncrop,1,0,0,1,0,0,0,0,1.0,1.0,3
304_20200825130810745,304,20200825130810745,20201005,H,2,uncrop,5,20200825130800239,20200825130800239_2_5_uncrop,0,0,0,1,0,0,0,0,0.0,1.0,3
