raw_stem,raw_product_id,timestamp,received_date,product_type,camera_id,crop_type,camera_angle,product_id,stem,has_kizu_dakon,has_kizu_ware,has_kizu_zairyou,has_ignore_shallow,has_ignore_cutting,has_ignore_oil,has_sabi,has_unuse,is_anomaly_image,is_anomaly_product,data_block_id
701_20201007133214002,701,20201007133214002,20201008,H,2,uncrop,0,20201007133214002,20201007133214002_2_0_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133216755,701,20201007133216755,20201008,H,2,uncrop,1,20201007133214002,20201007133214002_2_1_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133220566,701,20201007133220566,20201008,H,2,uncrop,2,20201007133214002,20201007133214002_2_2_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133222493,701,20201007133222493,20201008,H,2,uncrop,3,20201007133214002,20201007133214002_2_3_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133225245,701,20201007133225245,20201008,H,2,uncrop,4,20201007133214002,20201007133214002_2_4_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133228451,701,20201007133228451,20201008,H,2,uncrop,5,20201007133214002,20201007133214002_2_5_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133230379,701,20201007133230379,20201008,H,2,uncrop,6,20201007133214002,20201007133214002_2_6_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133232841,701,20201007133232841,20201008,H,2,uncrop,7,20201007133214002,20201007133214002_2_7_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133236037,701,20201007133236037,20201008,H,2,uncrop,8,20201007133214002,20201007133214002_2_8_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133237974,701,20201007133237974,20201008,H,2,uncrop,9,20201007133214002,20201007133214002_2_9_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133240432,701,20201007133240432,20201008,H,2,uncrop,10,20201007133214002,20201007133214002_2_10_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
701_20201007133243643,701,20201007133243643,20201008,H,2,uncrop,11,20201007133214002,20201007133214002_2_11_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133411803,702,20201007133411803,20201008,H,2,uncrop,0,20201007133411803,20201007133411803_2_0_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133414560,702,20201007133414560,20201008,H,2,uncrop,1,20201007133411803,20201007133411803_2_1_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133418366,702,20201007133418366,20201008,H,2,uncrop,2,20201007133411803,20201007133411803_2_2_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133420294,702,20201007133420294,20201008,H,2,uncrop,3,20201007133411803,20201007133411803_2_3_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133423047,702,20201007133423047,20201008,H,2,uncrop,4,20201007133411803,20201007133411803_2_4_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133426299,702,20201007133426299,20201008,H,2,uncrop,5,20201007133411803,20201007133411803_2_5_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133428204,702,20201007133428204,20201008,H,2,uncrop,6,20201007133411803,20201007133411803_2_6_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133430691,702,20201007133430691,20201008,H,2,uncrop,7,20201007133411803,20201007133411803_2_7_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133433861,702,20201007133433861,20201008,H,2,uncrop,8,20201007133411803,20201007133411803_2_8_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133435792,702,20201007133435792,20201008,H,2,uncrop,9,20201007133411803,20201007133411803_2_9_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133438249,702,20201007133438249,20201008,H,2,uncrop,10,20201007133411803,20201007133411803_2_10_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
702_20201007133441477,702,20201007133441477,20201008,H,2,uncrop,11,20201007133411803,20201007133411803_2_11_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
703_20201007133556181,703,20201007133556181,20201008,H,2,uncrop,0,20201007133556181,20201007133556181_2_0_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
703_20201007133558934,703,20201007133558934,20201008,H,2,uncrop,1,20201007133556181,20201007133556181_2_1_uncrop,0,0,0,0,0,0,0,0,0.0,0.0,3
